Línea 31: <INCREMENT> '++'
Línea 31: <RPAREN> ')'
Línea 31: <LBRACE> '{'
Línea 32: <FOR> 'for'
Línea 32: <LPAREN> '('
Línea 32: <INT> 'int'
Línea 32: <IDENTIFIER> 'c'
Línea 32: <ASSIGN> '='
Línea 32: <NUMBER> '0'
Línea 32: <SEMICOLON> ';'
Línea 32: <IDENTIFIER> 'c'
Línea 32: <LT> '<'
Línea 32: <IDENTIFIER> 'matrix'
Línea 32: <LBRACKET> '['
Línea 32: <IDENTIFIER> 'r'
Línea 32: <RBRACKET> ']'
Línea 32: <DOT> '.'
Línea 32: <IDENTIFIER> 'length'
Línea 32: <SEMICOLON> ';'
Línea 32: <IDENTIFIER> 'c'
Línea 32: <INCREMENT> '++'
Línea 32: <RPAREN> ')'
Línea 32: <LBRACE> '{'
Línea 33: <OUTPUT> 'output'
Línea 33: <GO> '->'
Línea 33: <STRING_LITERAL> '"matrix["'
Línea 33: <PLUS> '+'
Línea 33: <IDENTIFIER> 'r'
Línea 33: <PLUS> '+'
Línea 33: <STRING_LITERAL> '"]["'
Línea 33: <PLUS> '+'
Línea 33: <IDENTIFIER> 'c'
Línea 33: <PLUS> '+'
Línea 33: <STRING_LITERAL> '"] = "'
Línea 33: <PLUS> '+'
Línea 33: <IDENTIFIER> 'matrix'
Línea 33: <LBRACKET> '['
Línea 33: <IDENTIFIER> 'r'
Línea 33: <RBRACKET> ']'
Línea 33: <LBRACKET> '['
Línea 33: <IDENTIFIER> 'c'
Línea 33: <RBRACKET> ']'
Línea 33: <SEMICOLON> ';'
Línea 34: <RBRACE> '}'
Línea 35: <RBRACE> '}'
Línea 38: <STRING> 'string'
Línea 38: <LBRACKET> '['
Línea 38: <RBRACKET> ']'
Línea 38: <IDENTIFIER> 'days'
Línea 38: <ASSIGN> '='
Línea 38: <LBRACE> '{'
Línea 38: <STRING_LITERAL> '"Lunes"'
Línea 38: <COMMA> ','
Línea 38: <STRING_LITERAL> '"Martes"'
Línea 38: <COMMA> ','
Línea 38: <STRING_LITERAL> '"Miércoles"'
Línea 38: <COMMA> ','
Línea 38: <STRING_LITERAL> '"Jueves"'
Línea 38: <COMMA> ','
